,ApprovalTime,AutoApprovalTime,AssignmentId,WorkerId,AcceptTime,HITId,Assignment,answer.expt_gen,answer.domain,answer.scale,answer.sent_utterance,answer.language,answer.sent_context,answer.expt_aim,answer.sent_question,answer.speaker,answer.character_thoughts,answer.judgment,AssignmentStatus,SubmitTime,subid,order
1,2015-04-28T21:52:51Z,2015-04-28T22:02:08Z,30H4UDGLT2IGXFLEZR90DPGANOIPM8,A2EZIVFW94AFCY,2015-04-28T20:49:14Z,30IRMPJWDZJ3WK3W15V7ENTY3W6KRZ,,no,training1,training1,'I like watching TV.',English,Imagine that you and your friend were talking about your favorite pastimes. Your friend says: ,Perceptions of others based on words and phrases.,your friend hates watching TV?,your friend,"I don't have any specific thoughts but if I'm hanging out with them, they are likely generally positive.",no,Approved,2015-04-28T21:32:08Z,30H4UD,1
2,2015-04-28T21:52:51Z,2015-04-28T22:02:08Z,30H4UDGLT2IGXFLEZR90DPGANOIPM8,A2EZIVFW94AFCY,2015-04-28T20:49:14Z,30IRMPJWDZJ3WK3W15V7ENTY3W6KRZ,,no,training2,training2,'I don't like eating meat.',English,Imagine that you and your friend were talking about different kinds of food. Your friend says: ,Perceptions of others based on words and phrases.,your friend doesn't like eating beef?,your friend,"I don't have any specific thoughts but if I'm hanging out with them, they are likely generally positive.",yes,Approved,2015-04-28T21:32:08Z,30H4UD,2
3,2015-04-28T21:52:51Z,2015-04-28T22:02:08Z,30H4UDGLT2IGXFLEZR90DPGANOIPM8,A2EZIVFW94AFCY,2015-04-28T20:49:14Z,30IRMPJWDZJ3WK3W15V7ENTY3W6KRZ,,no,singing,someHate_andAlsAll_noUtt,.,English,"Imagine that you and your friend have joined a singing club, with four members in addition to you and your friend. Each week, one member of the club sings a song, and the five other members discuss the performance in the absence of the performer. Then you get a score based on the group evaluation of the performance. This week, it is your turn to sing and to let others discuss your performance. After the discussion, before you find out about your score, your friend confides to you something by passing you a note he wrote",Perceptions of others based on words and phrases.,everyone didn't like your performance?,your friend,"I don't have any specific thoughts but if I'm hanging out with them, they are likely generally positive.",yes,Approved,2015-04-28T21:32:08Z,30H4UD,3
4,2015-04-28T21:52:51Z,2015-04-28T22:02:08Z,30H4UDGLT2IGXFLEZR90DPGANOIPM8,A2EZIVFW94AFCY,2015-04-28T20:49:14Z,30IRMPJWDZJ3WK3W15V7ENTY3W6KRZ,,no,film,someLove_andAlsAll_utt,", which says: 'Some people liked your film.'",English,"Imagine that you and your friend have joined a film club, with four members in addition to you and your friend. Each week, one member of the club directs a short film, and the five other members discuss the film in the absence of its director. Then you get a score based on the group evaluation of the film. This week, it is your turn to bring in your film and to let others discuss it. After the discussion, before you find out about your score, your friend confides to you something by passing you a note he wrote",Perceptions of others based on words and phrases.,everyone liked your film?,your friend,"I don't have any specific thoughts but if I'm hanging out with them, they are likely generally positive.",no,Approved,2015-04-28T21:32:08Z,30H4UD,4
5,2015-04-28T21:52:51Z,2015-04-28T22:02:08Z,30H4UDGLT2IGXFLEZR90DPGANOIPM8,A2EZIVFW94AFCY,2015-04-28T20:49:14Z,30IRMPJWDZJ3WK3W15V7ENTY3W6KRZ,,no,paiting,someHate_andAlsAll_utt,", which says: 'Some people didn't like your painting.'",English,"Imagine that you and your friend have joined a painting club, with four members in addition to you and your friend. Each week, one member of the club brings in their painting, and the five other members discuss the painting in the absence of the artist. Then you get a score based on the group evaluation of the painting. This week, it is your turn to paint and to let others discuss your painting. After the discussion, before you find out about your score, your friend confides to you something by passing you a note he wrote",Perceptions of others based on words and phrases.,everyone didn't like your painting?,your friend,"I don't have any specific thoughts but if I'm hanging out with them, they are likely generally positive.",no,Approved,2015-04-28T21:32:08Z,30H4UD,5
6,2015-04-28T21:52:51Z,2015-04-28T22:02:08Z,30H4UDGLT2IGXFLEZR90DPGANOIPM8,A2EZIVFW94AFCY,2015-04-28T20:49:14Z,30IRMPJWDZJ3WK3W15V7ENTY3W6KRZ,,no,dance,someLove_andAlsAll_noUtt,.,English,"Imagine that you and your friend have joined a dance club, with four members in addition to you and your friend. Each week, one member of the club shows their own choreographed dance, and the five other members discuss the dance in the absence of its choreographer. Then you get a score based on the group evaluation of the dance. This week, it is your turn to do a dance choreography and to let others discuss it. After the discussion, before you find out about your score, your friend confides to you something by passing you a note he wrote",Perceptions of others based on words and phrases.,everyone liked your dance?,your friend,"I don't have any specific thoughts but if I'm hanging out with them, they are likely generally positive.",yes,Approved,2015-04-28T21:32:08Z,30H4UD,6
7,2015-04-28T21:52:51Z,2015-04-28T22:02:08Z,30H4UDGLT2IGXFLEZR90DPGANOIPM8,A2EZIVFW94AFCY,2015-04-28T20:49:14Z,30IRMPJWDZJ3WK3W15V7ENTY3W6KRZ,,no,poem,someHate_andAlsAll_smudge,", which says: '... didn't like your poem.' (you can't read the first word(s) because it was smudged by accident)",English,"Imagine that you and your friend have joined a poetry club, with four members in addition to you and your friend. Each week, one member of the club writes a poem and reads it aloud, and the five other members discuss the poem in the absence of its author. Then you get a score based on the group evaluation of the poem. This week, it is your turn to write a poem and to let others discuss it. After the discussion, before you find out about your score, your friend confides to you something by passing you a note he wrote",Perceptions of others based on words and phrases.,everyone didn't like your poem?,your friend,"I don't have any specific thoughts but if I'm hanging out with them, they are likely generally positive.",no,Approved,2015-04-28T21:32:08Z,30H4UD,7
8,2015-04-28T21:52:51Z,2015-04-28T22:02:08Z,30H4UDGLT2IGXFLEZR90DPGANOIPM8,A2EZIVFW94AFCY,2015-04-28T20:49:14Z,30IRMPJWDZJ3WK3W15V7ENTY3W6KRZ,,no,recipe,someLove_andAlsAll_smudge,", which says: '... liked your recipe.' (you can't read the first word(s) because it was smudged by accident)",English,"Imagine that you and your friend have joined a cooking club, with four members in addition to you and your friend. Each week, one member of the club makes a recipe and brings in what they cooked based on the recipe, and the five other members discuss the recipe in the absence of its author. Then you get a score based on the group evaluation of the recipe. This week, it is your turn to bring in a recipe and to let others discuss it. After the discussion, before you find out about your score, your friend confides to you something by passing you a note he wrote",Perceptions of others based on words and phrases.,everyone liked your recipe?,your friend,"I don't have any specific thoughts but if I'm hanging out with them, they are likely generally positive.",yes,Approved,2015-04-28T21:32:08Z,30H4UD,8
9,2015-04-28T19:39:01Z,2015-04-28T19:45:23Z,30OG32W0SUBII6HO2E8PWS66E7JNEE,AIC8CB12DQC0K,2015-04-28T19:11:15Z,30IRMPJWDZJ3WK3W15V7ENTY3W6KRZ,,"I enjoyed it, makes you think about how things are viewed based on moods/personality types etc.",training1,training1,'I like watching TV.',English,Imagine that you and your friend were talking about your favorite pastimes. Your friend says: ,Do we interpret things based on how positive or negative we are feeling?,your friend hates watching TV?,your friend,"They certainly did a lot of fun stuff together, but I think the friend may have some issues and may actually be trying to hurt my feelings.  (Yep THAT kind of friend).",no,Approved,2015-04-28T19:15:23Z,30OG32,1
10,2015-04-28T19:39:01Z,2015-04-28T19:45:23Z,30OG32W0SUBII6HO2E8PWS66E7JNEE,AIC8CB12DQC0K,2015-04-28T19:11:15Z,30IRMPJWDZJ3WK3W15V7ENTY3W6KRZ,,"I enjoyed it, makes you think about how things are viewed based on moods/personality types etc.",training2,training2,'I don't like eating meat.',English,Imagine that you and your friend were talking about different kinds of food. Your friend says: ,Do we interpret things based on how positive or negative we are feeling?,your friend doesn't like eating beef?,your friend,"They certainly did a lot of fun stuff together, but I think the friend may have some issues and may actually be trying to hurt my feelings.  (Yep THAT kind of friend).",yes,Approved,2015-04-28T19:15:23Z,30OG32,2
